"date","pm10","pm25","so2","o3","co","no2"
2015-05-01 00:00:00,45,33,3,38,600,22
2015-05-01 00:15:00,45,33,3,38,600,22
2015-05-01 00:30:00,45,33,3,38,600,22
2015-05-01 00:45:00,45,33,3,38,600,22
2015-05-01 01:00:00,43,35,3,36,700,21
2015-05-01 01:15:00,43,35,3,36,700,21
2015-05-01 01:30:00,43,35,3,36,700,21
2015-05-01 01:45:00,43,35,3,36,700,21
2015-05-01 02:00:00,41,39,3,22,700,20
2015-05-01 02:15:00,41,39,3,22,700,20
2015-05-01 02:30:00,41,39,3,22,700,20
2015-05-01 02:45:00,41,39,3,22,700,20
2015-05-01 03:00:00,39,37,3,15,700,19
2015-05-01 03:15:00,39,37,3,15,700,19
2015-05-01 03:30:00,39,37,3,15,700,19
2015-05-01 03:45:00,39,37,3,15,700,19
2015-05-01 04:00:00,41,33,3,7,700,17
2015-05-01 04:15:00,41,33,3,7,700,17
2015-05-01 04:30:00,41,33,3,7,700,17
2015-05-01 04:45:00,41,33,3,7,700,17
2015-05-01 05:00:00,37,37,3,5,700,16
2015-05-01 05:15:00,37,37,3,5,700,16
2015-05-01 05:30:00,37,37,3,5,700,16
2015-05-01 05:45:00,37,37,3,5,700,16
2015-05-01 06:00:00,37,35,3,10,700,18
2015-05-01 06:15:00,37,35,3,10,700,18
2015-05-01 06:30:00,37,35,3,10,700,18
2015-05-01 06:45:00,37,35,3,10,700,18
2015-05-01 07:00:00,43,39,3,17,700,18
2015-05-01 07:15:00,43,39,3,17,700,18
2015-05-01 07:30:00,43,39,3,17,700,18
2015-05-01 07:45:00,43,39,3,17,700,18
2015-05-01 08:00:00,41,37,3,15,700,17
2015-05-01 08:15:00,41,37,3,15,700,17
2015-05-01 08:30:00,41,37,3,15,700,17
2015-05-01 08:45:00,41,37,3,15,700,17
2015-05-01 09:00:00,47,35,3,19,700,20
2015-05-01 09:15:00,47,35,3,19,700,20
2015-05-01 09:30:00,47,35,3,19,700,20
2015-05-01 09:45:00,47,35,3,19,700,20
2015-05-01 10:00:00,51,39,4,31,800,22
2015-05-01 10:15:00,51,39,4,31,800,22
2015-05-01 10:30:00,51,39,4,31,800,22
2015-05-01 10:45:00,51,39,4,31,800,22
2015-05-01 11:00:00,53,43,5,52,800,26
2015-05-01 11:15:00,53,43,5,52,800,26
2015-05-01 11:30:00,53,43,5,52,800,26
2015-05-01 11:45:00,53,43,5,52,800,26
2015-05-01 12:00:00,51,43,4,66,700,29
2015-05-01 12:15:00,51,43,4,66,700,29
2015-05-01 12:30:00,51,43,4,66,700,29
2015-05-01 12:45:00,51,43,4,66,700,29
2015-05-01 13:00:00,43,37,4,71,700,30
2015-05-01 13:15:00,43,37,4,71,700,30
2015-05-01 13:30:00,43,37,4,71,700,30
2015-05-01 13:45:00,43,37,4,71,700,30
2015-05-01 14:00:00,45,33,4,72,700,29
2015-05-01 14:15:00,45,33,4,72,700,29
2015-05-01 14:30:00,45,33,4,72,700,29
2015-05-01 14:45:00,45,33,4,72,700,29
2015-05-01 15:00:00,49,33,3,61,700,28
2015-05-01 15:15:00,49,33,3,61,700,28
2015-05-01 15:30:00,49,33,3,61,700,28
2015-05-01 15:45:00,49,33,3,61,700,28
2015-05-01 16:00:00,55,35,3,61,700,28
2015-05-01 16:15:00,55,35,3,61,700,28
2015-05-01 16:30:00,55,35,3,61,700,28
2015-05-01 16:45:00,55,35,3,61,700,28
2015-05-01 17:00:00,43,35,3,60,700,28
2015-05-01 17:15:00,43,35,3,60,700,28
2015-05-01 17:30:00,43,35,3,60,700,28
2015-05-01 17:45:00,43,35,3,60,700,28
2015-05-01 18:00:00,39,27,3,59,600,28
2015-05-01 18:15:00,39,27,3,59,600,28
2015-05-01 18:30:00,39,27,3,59,600,28
2015-05-01 18:45:00,39,27,3,59,600,28
2015-05-01 19:00:00,43,31,3,54,600,27
2015-05-01 19:15:00,43,31,3,54,600,27
2015-05-01 19:30:00,43,31,3,54,600,27
2015-05-01 19:45:00,43,31,3,54,600,27
2015-05-01 20:00:00,39,33,3,38,700,26
2015-05-01 20:15:00,39,33,3,38,700,26
2015-05-01 20:30:00,39,33,3,38,700,26
2015-05-01 20:45:00,39,33,3,38,700,26
2015-05-01 21:00:00,51,37,3,40,700,26
2015-05-01 21:15:00,51,37,3,40,700,26
2015-05-01 21:30:00,51,37,3,40,700,26
2015-05-01 21:45:00,51,37,3,40,700,26
2015-05-01 22:00:00,41,33,3,35,700,24
2015-05-01 22:15:00,41,33,3,35,700,24
2015-05-01 22:30:00,41,33,3,35,700,24
2015-05-01 22:45:00,41,33,3,35,700,24
2015-05-01 23:00:00,49,35,3,27,700,23
2015-05-01 23:15:00,49,35,3,27,700,23
2015-05-01 23:30:00,49,35,3,27,700,23
2015-05-01 23:45:00,49,35,3,27,700,23
2015-05-02 00:00:00,39,43,3,26,700,21
2015-05-02 00:15:00,39,43,3,26,700,21
2015-05-02 00:30:00,39,43,3,26,700,21
2015-05-02 00:45:00,39,43,3,26,700,21
2015-05-02 01:00:00,47,39,3,16,700,21
2015-05-02 01:15:00,47,39,3,16,700,21
2015-05-02 01:30:00,47,39,3,16,700,21
2015-05-02 01:45:00,47,39,3,16,700,21
2015-05-02 02:00:00,43,45,3,12,700,19
2015-05-02 02:15:00,43,45,3,12,700,19
2015-05-02 02:30:00,43,45,3,12,700,19
2015-05-02 02:45:00,43,45,3,12,700,19
2015-05-02 03:00:00,43,37,3,9,700,18
2015-05-02 03:15:00,43,37,3,9,700,18
2015-05-02 03:30:00,43,37,3,9,700,18
2015-05-02 03:45:00,43,37,3,9,700,18
2015-05-02 04:00:00,49,39,3,10,700,18
2015-05-02 04:15:00,49,39,3,10,700,18
2015-05-02 04:30:00,49,39,3,10,700,18
2015-05-02 04:45:00,49,39,3,10,700,18
2015-05-02 05:00:00,43,39,3,7,800,18
2015-05-02 05:15:00,43,39,3,7,800,18
2015-05-02 05:30:00,43,39,3,7,800,18
2015-05-02 05:45:00,43,39,3,7,800,18
2015-05-02 06:00:00,41,33,3,9,700,17
2015-05-02 06:15:00,41,33,3,9,700,17
2015-05-02 06:30:00,41,33,3,9,700,17
2015-05-02 06:45:00,41,33,3,9,700,17
2015-05-02 07:00:00,37,37,3,11,700,17
2015-05-02 07:15:00,37,37,3,11,700,17
2015-05-02 07:30:00,37,37,3,11,700,17
2015-05-02 07:45:00,37,37,3,11,700,17
2015-05-02 08:00:00,53,47,3,20,700,19
2015-05-02 08:15:00,53,47,3,20,700,19
2015-05-02 08:30:00,53,47,3,20,700,19
2015-05-02 08:45:00,53,47,3,20,700,19
2015-05-02 09:00:00,61,49,3,43,600,23
2015-05-02 09:15:00,61,49,3,43,600,23
2015-05-02 09:30:00,61,49,3,43,600,23
2015-05-02 09:45:00,61,49,3,43,600,23
2015-05-02 10:00:00,39,29,4,47,600,24
2015-05-02 10:15:00,39,29,4,47,600,24
2015-05-02 10:30:00,39,29,4,47,600,24
2015-05-02 10:45:00,39,29,4,47,600,24
2015-05-02 11:00:00,47,25,4,51,600,25
2015-05-02 11:15:00,47,25,4,51,600,25
2015-05-02 11:30:00,47,25,4,51,600,25
2015-05-02 11:45:00,47,25,4,51,600,25
2015-05-02 12:00:00,43,15,3,54,600,26
2015-05-02 12:15:00,43,15,3,54,600,26
