,date,day.type,temperature,RH,pressure,SRAD,pm10,so2
0,6/10/2014,undefined,23.64583333,65.29166667,1000.891667,195.1416667,62.58333333,4.75
1,6/11/2014,Non,23.175,59.41666667,997.5041667,281.4833333,40.41666667,4.333333333
2,6/12/2014,NPF,19.79166667,77.25,994.9166667,152.8916667,32.58333333,4.125
3,6/13/2014,Non,21.85833333,68.5,997.0708333,232.1791667,53.16666667,4
4,6/14/2014,NPF,22.52083333,62.33333333,999.8958333,238.3041667,49,3.916666667
5,6/15/2014,Non,22.7625,61.83333333,999.3833333,278.5833333,41.16666667,4.041666667
6,6/16/2014,NPF,23.48333333,60.58333333,998.5166667,245.7166667,71.58333333,4.125
7,6/17/2014,Non,21.75416667,72.41666667,996.9083333,128.0125,73.25,4.333333333
8,6/18/2014,NPF,23.24166667,60.79166667,996.4375,253.4708333,48.13043478,3.956521739
9,6/19/2014,Non,23.6875,64.625,998.2291667,251.8458333,83.5,4
10,6/20/2014,Non,23.64166667,65.33333333,999.4041667,201.0458333,60.91666667,5.083333333
11,6/21/2014,Non,22.41666667,75.16666667,998.9375,84.6,43.33333333,4.333333333
12,6/22/2014,NPF,23.0625,71.45833333,999.0958333,162.15,44.25,4.166666667
13,6/23/2014,Non,22.4375,76.125,998.9083333,146.7583333,39.08333333,4.041666667
14,6/24/2014,Non,23.02916667,71.375,998.8541667,204.5125,32.16666667,4.041666667
15,6/25/2014,undefined,23.07916667,68.70833333,1000.545833,214.5833333,42.16666667,4
16,6/26/2014,Non,24.05416667,68.20833333,999.5,195.6,57.26086957,4
17,6/27/2014,NPF,25.32083333,60.08333333,996.675,278.0166667,46.5,4.5
18,6/28/2014,Non,24.57916667,63.20833333,996.0875,262.2583333,27.91666667,4.041666667
19,6/29/2014,Non,24.32916667,65.29166667,997.6125,205.4458333,30.91666667,4.125
20,6/30/2014,NPF,25.0875,62.5,1000.579167,247.45,27.16666667,4
21,7/1/2014,Non,25.35,63.45833333,1002.295833,256.6,59.83333333,4.958333333
22,7/2/2014,Non,21.95416667,73,999.3916667,75.92916667,50.41666667,4.375
23,7/3/2014,Non,20.64583333,91.20833333,991.9875,36.80416667,7.863636364,4.545454545
24,7/4/2014,undefined,22.84583333,84.25,998.1791667,115.3875,13.41666667,5.083333333
25,12/21/2014,undefined,-0.216666667,48.20833333,1021.316667,129.9875,26.58333333,4.958333333
26,12/22/2014,Non,1.283333333,54.83333333,1020.7625,123.6125,43.41666667,4.375
27,12/23/2014,Non,1.175,67.54166667,1014.075,72.80416667,61.58333333,4.666666667
28,12/24/2014,Non,4.420833333,72.79166667,1007.8875,88.42916667,92.83333333,7.125
29,12/25/2014,Non,5.758333333,56.79166667,1009.683333,114,114.0833333,6.217391304
30,12/26/2014,undefined,1.4125,68.91666667,1009.154167,51.625,50.41666667,4.375
31,12/27/2014,Non,-3.725,78.75,1016.129167,75.12083333,30.5,4.125
32,12/28/2014,Non,-2.3375,78.58333333,1016.9375,47.22083333,25.5,4.125
33,12/29/2014,Non,-1.966666667,69.83333333,1015.933333,120.7208333,32.75,3.5
